ID_BANDA,NOMBRE_COMPLETO,LOCALIDAD,PROVINCIA,FECHA_FUND,FECHA_EXT,ULTIMO_DISCO,STATUS,CANAL_URL,CANDIDATOS,NOTA
1,Agrupación Musical Nuestra Señora De La Victoria,Arahal,Sevilla,1980.0,,2012.0,exacto,https://www.youtube.com/@amvictoriaarahal1980,,"Canal 'AM VICTORIA ARAHAL', coincide con fundación 1980 y localidad Arahal."
2,Agrupación Musical Nuestro Padre Jesús De La Redención,Córdoba,Córdoba,1989.0,,2010.0,exacto,https://www.youtube.com/@RedencionCordoba,"https://www.youtube.com/channel/UCV8-0KTrvlwPksTrqCVaKDQ (Canal 'Topic' (auto-generado por YouTube, no gestionado por la banda) etiquetado explícitamente como 'de Córdoba', pero no es un canal oficial gestionado.) | https://www.youtube.com/channel/UCB2ylcAqAyqZeZCUPasMuBg (Canal titulado 'La Redención - YouTube' encontrado en búsqueda centrada en Córdoba, pero existe una banda homónima en Sevilla (ID_BANDA 11) con canal propio confirmado y fecha de fundación 1978; alto riesgo de confusión entre ambas bandas 'Redención'.)",Existe una segunda banda con el mismo nombre en Sevilla (ID 11) que sí tiene canal oficial claro; no se pudo confirmar con seguridad un canal propio y gestionado específico para la banda de Córdoba.
3,Agrupación Musical Cristo De La Misericordia,Lepe,Huelva,,,2007.0,no_encontrado,,,"Solo se encontraron vídeos sueltos de terceros, blog y web oficial (ammisericordialepe.es), sin canal de YouTube propio identificable. Otros canales 'Misericordia' hallados pertenecen a bandas de otras localidades (Cáceres, Segovia, Viveiro)."
4,Agrupación Musical Cristo De La Buena Muerte,Ayamonte,Huelva,1980.0,,2009.0,no_encontrado,,,"Numerosos vídeos con marca consistente 'AM Buena Muerte (Ayamonte)' y presencia activa en Instagram/X (@ambuenamuerte), pero no se pudo confirmar un canal de YouTube propio (handle o URL de canal) con certeza."
5,Banda De Cornetas Y Tambores De La Centuria Romana Macarena,Sevilla,Sevilla,,,2018.0,exacto,https://www.youtube.com/@bandacenturia,,"Canal 'Banda de la Centuria Romana Macarena', coincide con la banda de la Hermandad de la Macarena en Sevilla."
6,Agrupación Musical Virgen De Los Reyes,Sevilla,Sevilla,1991.0,,2015.0,exacto,https://www.youtube.com/channel/UCXchDNSKTFF1maH_A8Gpjuw,,"Canal 'Virgen de los Reyes', corroborado por Instagram @agrupacionvr, banda de Sevilla."
7,Banda De Cornetas Y Tambores Nuestra Señora Del Sol,Sevilla,Sevilla,1975.0,,2012.0,exacto,https://www.youtube.com/channel/UCYmabM936f1niAoy_yFTStA,,"Canal oficial de 'Banda del SôL', vinculado a web conocida bandasol.com."
8,Banda De Cornetas Y Tambores Nuestra Señora De La Fuensanta,Córdoba,Córdoba,1992.0,2008.0,2003.0,no_encontrado,,,"Banda extinta (2008); solo aparecen referencias en Spotify/Apple Music y bandas sucesoras/distintas ('Fuensanta Coronada', 'Jesús Caído y Fuensanta'). Prioridad baja, búsqueda única realizada."
9,Agrupación Musical Paz Y Caridad,Estepa,Sevilla,2000.0,,2011.0,exacto,https://www.youtube.com/@pazycaridadestepa2309,,"Canal 'Paz y Caridad Estepa', coincide con la banda de Estepa, Sevilla."
10,Agrupación Musical Nuestro Padre Jesús De Los Afligidos,Puente Genil,Córdoba,1998.0,,2013.0,exacto,https://www.youtube.com/@AMAFLIGIDOS,,"Canal 'AMAFLIGIDOS', coincide con la banda de Puente Genil, Córdoba."
11,Agrupación Musical Nuestro Padre Jesús De La Redención,Sevilla,Sevilla,1978.0,,2018.0,exacto,https://www.youtube.com/c/AMRedenci%C3%B3n1978,,"Canal 'La Redención', el sufijo '1978' coincide con la fecha de fundación de esta banda de Sevilla (FECHA_FUND 1978), distinguiéndola de la homónima de Córdoba (ID 2). Web conocida amredencion.com."
12,Agrupación Musical Santa Marta Y Sagrada Cena,León,León,2000.0,,2013.0,exacto,https://www.youtube.com/@lacenadeleonagrupacionmusi2427,,"Canal 'La Cena de León Agrupación Musical', canal propio de la banda (distinto del canal de la Hermandad)."
